,City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
420,"Usinsk, RU",68,91,66.0,57.56,19.86,7.0
421,"Grand-Santi, GF",92,98,4.27,-54.38,73.36,2.82
422,"Devrek, TR",92,100,41.22,31.96,38.85,4.32
423,"Vila, IT",0,100,45.18,8.4,29.35,5.82
424,"Bumba, CD",24,98,2.18,22.47,70.71,4.72
425,"Plettenberg Bay, ZA",12,98,-34.05,23.37,64.05,4.09
426,"Faya, SA",0,25,18.39,42.45,51.8,3.83
427,"Grindavik, IS",75,92,63.84,-22.43,31.3,11.41
428,"Tura, IN",0,81,25.52,90.21,72.15,3.98
429,"Tautira, PF",75,74,-17.73,-149.15,84.2,2.24
430,"Kandrian, PG",80,100,-6.21,149.55,77.55,1.86
431,"Les Cayes, HT",76,100,18.19,-73.75,78.72,8.08
432,"Solenzo, BF",0,37,12.18,-4.08,55.9,9.57
433,"Darhan, MN",24,48,49.49,105.92,15.76,4.61
434,"Vardo, US",75,69,39.62,-77.74,39.79,9.17
435,"Posse, BR",48,89,-14.08,-46.36,68.91,2.26
436,"Bubaque, GW",8,100,11.28,-15.83,71.83,22.39
437,"Namatanai, PG",68,100,-3.66,152.44,83.49,5.99
438,"Klyuchi, RU",32,86,52.25,79.17,12.16,11.54
439,"Aksha, RU",48,51,50.28,113.29,11.8,10.92
440,"Cambara, BR",92,97,-23.05,-50.07,68.37,9.31
441,"Cabedelo, BR",75,78,-6.97,-34.84,78.8,4.7
442,"Esfahan, IR",0,47,32.66,51.68,33.8,2.59
443,"Yaan, NG",8,96,7.38,8.57,72.24,7.74
444,"Ryotsu, JP",0,57,38.08,138.43,50.0,5.82
445,"Tulum, MX",20,88,20.21,-87.46,71.6,2.82
446,"Fare, PF",56,98,-16.7,-151.02,83.4,14.16
447,"Bastia, IT",40,81,44.6,8.98,39.18,3.36
448,"Matara, PE",64,97,-13.74,-72.9,42.18,2.04
449,"Wilmington, US",1,75,39.75,-75.55,40.33,21.92
450,"Saint-Leu, RE",0,58,-21.15,55.28,84.2,6.93
451,"Shakawe, BW",88,100,-18.36,21.84,68.1,5.84
452,"Artvin, TR",75,93,41.18,41.83,42.8,6.93
453,"Codrington, AU",0,49,-28.95,153.24,90.24,1.97
454,"Antigonish, CA",90,93,45.62,-61.99,53.6,21.92
455,"San Ramon, NI",32,94,12.92,-85.84,65.85,3.71
456,"Ballina, IE",92,97,54.11,-9.15,50.86,22.84
457,"Celendin, PE",0,98,-6.87,-78.15,50.91,2.08
458,"Iralaya, HN",92,100,15.0,-83.23,75.43,10.36
459,"Belyy Yar, RU",0,85,53.6,91.39,12.2,2.24
460,"Mogadishu, SO",0,99,2.04,45.34,78.81,25.97
461,"Bitam, GA",92,99,2.08,11.49,68.95,2.59
462,"Kalmunai, LK",12,84,7.42,81.82,82.95,8.79
463,"Varhaug, NO",75,93,58.61,5.65,42.8,4.7
464,"Peleduy, RU",56,57,59.63,112.75,-6.47,3.38
465,"Takoradi, GH",0,100,4.89,-1.75,77.46,7.29
466,"Bataipora, BR",48,91,-22.3,-53.27,73.63,12.15
467,"Saint-Joseph, FR",75,57,43.56,6.97,36.59,4.7
468,"Kautokeino, NO",80,76,69.01,23.04,7.93,2.71
469,"Bontang, ID",44,96,0.12,117.47,83.98,6.29
470,"Sawtell, AU",24,69,-30.38,153.1,82.4,21.92
471,"Walvis Bay, NA",90,82,-22.95,14.51,59.0,2.24
472,"Cardoso, BR",76,98,-20.08,-49.91,69.45,2.3
473,"Rosetown, CA",56,74,51.55,-107.99,14.19,11.03
474,"Torzhok, RU",68,88,57.04,34.97,31.38,16.46
475,"Vila Franca do Campo, PT",40,77,37.72,-25.43,64.4,8.05
476,"Poltavka, RU",24,88,54.36,71.76,13.15,4.61
477,"Uch, FR",90,81,45.32,-0.93,46.4,5.82
478,"Lumby, CA",1,84,50.25,-118.97,1.4,2.24
479,"Tandil, AR",0,64,-37.33,-59.14,47.98,6.55
480,"Balgazyn, RU",0,72,51.0,95.2,5.91,1.19
481,"Port Blair, IN",0,99,11.67,92.75,82.86,13.94
482,"Panama City, US",75,94,30.16,-85.65,68.0,3.36
483,"Pisco, PE",0,82,-13.71,-76.2,68.0,2.75
484,"Nador, MA",75,100,35.17,-2.93,47.84,3.36
485,"Yumen, CN",0,47,40.29,97.04,29.4,14.34
486,"Vanavara, RU",0,66,60.35,102.28,-14.98,2.82
487,"Polunochnoye, RU",8,71,60.87,60.43,12.75,8.52
488,"Synya, RU",76,86,65.37,58.04,19.86,6.62
489,"Borovoy, RU",80,86,63.23,52.89,18.55,7.9
490,"Den Helder, NL",90,93,52.96,4.76,47.01,19.46
491,"Taguatinga, BR",0,88,-15.83,-48.06,64.4,3.36
492,"Rio Grande, BR",92,100,-32.03,-52.1,68.5,24.45
493,"Pathein, MM",0,57,16.78,94.73,84.84,9.91
494,"Killybegs, IE",100,96,54.63,-8.45,50.82,25.75
495,"Grenville, CA",40,85,45.62,-74.6,16.75,10.29
496,"Santa Rosa, AR",0,36,-36.62,-64.29,53.56,5.5
497,"Noumea, NC",90,57,-22.28,166.46,80.6,11.41
498,"Cleveland, US",40,96,41.51,-81.69,29.93,8.05
499,"Lahat, ID",20,83,-3.78,103.55,87.72,4.38
